blog	-75.63025950033106
profesor	-64.73431373775533
uniovi	-64.32974217677832
post	-46.10033182911832
rt	-38.64631335331889
leer	-36.55041116884168
nuevo	-34.10748173057113
puedes	-32.416601624106
sudoku	-31.13427492235878
living	-30.73774612111873
erasmus¡	-30.7020253116997
ade	-30.070043013495788
huesitos	-28.8336826505032
universitario	-25.25221227472255
bolonio	-25.184559710328493
sigues	-22.96854432989401
follower	-22.431361704149126
lees	-22.08956720296888
rile	-21.5701602593339
tfg	-21.332590820479783
prestige	-18.855712537804365
covisn	-18.23441176633498
fballina	-17.930989393609934
cc	-16.726424148125897
aenoveles	-16.49666988808609
matarile	-15.252406590655578
favor	-14.858836139067773
universidad	-14.434104543726434
temas	-14.202589585933023
conoces	-14.091433935674157
partido	-13.817561449047192
opiniones	-13.773390464397142
perdieras	-13.738352866506954
tusonidofavorito	-13.738352866506954
tve	-13.451697322539253
2	-13.416665904133064
echarias	-13.34787291003956
ptg	-13.250444116634569
directamente	-13.210519305206263
sonido	-12.819578501835622
fav	-12.630004121260994
1	-12.119085764786824
sporting	-12.101126274749275
dos	-12.048712723994894
es	-11.927460618836907
0	-11.726526774695222
llegara	-11.5054847366737
oido	-11.502762389168169
equipo	-11.47853111450409
repente	-11.460492795554922
gol	-11.280886558179374
seguirme	-10.69668988360213
universitarios	-10.6828495747734
pp	-10.563366164929676
gracias	-10.288835847727128
messi	-10.20740374878716
futbol	-10.20127488043398
sentido	-10.050102285009233
vida	-9.744884473899937
llorente802	-9.427856268902183
pecenteno	-9.335703779283717
victoria	-9.233933780818763
3	-9.183822095437039
relaciones	-9.151007424712649
asturias	-9.051994058133157
economica	-8.915820633934757
madrid	-8.84661742765146
eloycenteno	-8.638232715516738
javiballina	-8.574481049274837
barca	-8.531317738976567
seguidor	-8.519029087720309
aemet	-8.44882883225215
hacemos	-8.443204753738856
principado	-8.308227417398658
haces	-8.202675087577559
rajoy	-8.182846470083023
dependa	-8.182782582245318
¡buen	-8.181545707631978
teto1926	-8.114206737754522
gijonjovellanos	-8.094793942511627
forcabarca	-8.046304232377155
tribbifit	-7.977823802072854
jsilvinor	-7.977823802072854
oyendo	-7.970039636718621
mpdrayes	-7.938857705718109
vines1926	-7.917520410300758
opinion	-7.856760669806533
liga	-7.851030763829359
real	-7.818687571429571
upyd	-7.781675449270476
namineitor1	-7.768761488665303
suarez	-7.743100864080267
luisedugijon	-7.743100864080267
fc	-7.69781240903666
dc	-7.69781240903666
atletico	-7.672336943279041
hazte	-7.4354990850744045
referendum	-7.407223444214262
avilesconlavoz	-7.407223444214262
seguir	-7.380257184379957
tg	-7.257567139642369
rub	-7.257567139642369
navas	-7.257567139642369
soniavaquero3	-7.257567139642369
http	-7.114717123207963
juli	-7.104759138796755
nachojulian1	-7.104759138796755
ya¡	-7.104759138796755
atleti	-7.095759887333337
partidos	-7.078486099239276
chapacuovi	-7.039647002266247
jugador	-6.942003763110386
final	-6.899976459622072
pilarbego	-6.869176433253477
paidesport	-6.869176433253477
jugadores	-6.859950105812812
partidazo	-6.839607453619626
realsporting	-6.825047305442629
basket	-6.788832424512673
rua	-6.788832424512673
on	-6.769476442115068
oviedina	-6.685840499254866
campo	-6.618559595416749
oviedo	-6.599345632309564
estaes	-6.541882614275769
turismo	-6.50852749779849
chavales	-6.47834297439742
isco	-6.457467689111052
ascenso	-6.431238489259046
puntos	-6.388167784640535
robertobayon	-6.371934539279486
unnn	-6.371934539279486
silvaliya	-6.371934539279486
luis	-6.366832803813734
fb	-6.351591154135367
barcelona	-6.327348430692343
oviedocb	-6.319390329675859
dame	-6.318083768207697
uvieu	-6.317956557944267
mktfan	-6.285237512601455
evaajg97	-6.285237512601455
5	-6.279719342599702
cristiano	-6.277588622868106
editar	-6.274095189452912
saludos	-6.269771755277614
lanuevaespana	-6.24814475960573
linares	-6.197327763380131
barsa	-6.1938372258320715
tjcope	-6.189785705869226
mareo	-6.11042408437187
ano	-6.10856644498244
implante	-6.10815293060937
nba	-6.10815293060937
marisamblazquez	-6.10815293060937
